"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"18/01/2021","MTNGH","0.66","0.64","0.66","0.66","0.66","0.66","0","0.66","0.67","72,386.00","47,774.76"
"15/01/2021","MTNGH","0.66","0.64","0.66","0.66","0.66","0.66","0","0.66","0.67","9,900.00","6,583.00"
"14/01/2021","MTNGH","0.66","0.64","0.66","0.66","0.66","0.66","0","0.66","0.67","0.00","0.00"
"13/01/2021","MTNGH","0.66","0.64","0.66","0.66","0.66","0.66","0","0.66","0.67","8,820.00","5,821.20"
"12/01/2021","MTNGH","0.66","0.64","0.65","0.65","0.66","0.66","0.01","0.65","0.67","20,024,090.00","13,215,660.00"
"11/01/2021","MTNGH","0.65","0.64","0.65","0.65","0.65","0.65","0","0.65","0.66","35,900.00","23,335.00"
"08/01/2021","MTNGH","0.65","0.64","0.64","0.64","0.65","0.65","0.01","0.64","0.66","55,250,000.00","35,912,500.00"
"06/01/2021","MTNGH","0.64","0.64","0.64","0.64","0.64","0.64","0","0.62","0.64","25,452.00","16,289.28"
"05/01/2021","MTNGH","0.64","0.64","0.64","0.64","0.64","0.64","0","","0.64","35,945.00","23,004.80"
"04/01/2021","MTNGH","0.70","0.55","0.64","0.64","0.64","0.64","0","0.64","0.65","14,252,420.00","9,121,549.00"
"31/12/2020","MTNGH","0.70","0.55","0.64","0.64","0.63","0.64","0","0.64","0.65","1,817,600.00","1,159,587.00"
"30/12/2020","MTNGH","0.70","0.55","0.64","0.64","0.63","0.64","0","0.63","0.64","10,408,500.00","6,661,440.00"
"29/12/2020","MTNGH","0.70","0.55","0.64","0.64","0.63","0.64","0","0.64","0.65","755,500.00","482,180.00"
"24/12/2020","MTNGH","0.70","0.55","0.63","0.63","0.63","0.64","0.01","0.63","0.64","5,822,000.00","3,726,020.00"
"23/12/2020","MTNGH","0.70","0.55","0.63","0.63","0.63","0.63","0","0.62","0.63","8,200.00","5,166.00"
"22/12/2020","MTNGH","0.70","0.55","0.63","0.63","0.63","0.63","0","0.62","0.63","7,311,900.00","4,608,351.00"
"21/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.63","0.63","0.01","0.63","0.64","8,900.00","5,607.00"
"18/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.63","0.63","0.01","0.62","0.63","7,857,200.00","4,950,036.00"
"17/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.63","0.63","0.01","0.63","0.64","7,709,300.00","4,836,778.00"
"16/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.62","0.62","0","0.61","0.62","10,001,400.00","6,200,868.00"
"15/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.62","0.62","0","0.61","0.63","10,146,400.00","6,290,768.00"
"14/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.62","0.62","0.01","0.61","0.63","13,168,500.00","8,164,469.00"
"11/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.61","0","0.61","0.62","2,000.00","1,220.00"
"10/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.61","0.61","-0.01","","0.62","15,000,500.00","9,150,305.00"
"09/12/2020","MTNGH","0.70","0.55","0.62","0.62","0.62","0.62","0","0.61","0.62","153,400.00","95,108.00"
"08/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.62","0.62","0.01","0.61","0.62","300,500.00","186,305.00"
"04/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.61","0","","0.61","9,610,600.00","5,862,466.00"
"03/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.61","0","0.61","0.62","0.00","0.00"
"02/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.61","0","0.61","0.62","7,504,200.00","4,577,562.00"
"01/12/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.61","0","0.60","0.61","2,509,900.00","1,531,039.00"
"30/11/2020","MTNGH","0.70","0.55","0.60","0.61","0.61","0.61","0.01","0.60","0.62","17,126,900.00","10,447,130.00"
"27/11/2020","MTNGH","0.70","0.55","0.60","0.60","0.60","0.60","0","0.60","0.61","72,800.00","43,680.00"
"26/11/2020","MTNGH","0.70","0.55","0.61","0.61","0.61","0.60","-0.01","0.60","0.61","2,004,500.00","1,202,725.00"
