"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"20/04/2011","TOTAL","17.02","10.00","16.31","16.31","16.32","16.32","0.01","16.32","","800.00",""
"19/04/2011","TOTAL","17.02","10.00","16.31","16.31","16.31","16.31","0","16.31","","300.00",""
"18/04/2011","TOTAL","17.02","10.00","16.30","16.30","16.32","16.31","0.01","16.31","","500.00",""
"15/04/2011","TOTAL","17.02","10.00","15.92","15.92","16.30","16.30","0.38","16.00","","1,400.00",""
"14/04/2011","TOTAL","17.02","10.00","15.92","15.92","15.92","15.92","0","15.93","","0.00",""
"13/04/2011","TOTAL","17.02","10.00","15.92","15.92","15.92","15.92","0","15.92","16.30","0.00",""
"12/04/2011","TOTAL","17.02","10.00","15.92","15.92","15.92","15.92","0","15.92","16.30","0.00",""
"11/04/2011","TOTAL","17.02","10.00","15.90","15.90","15.92","15.92","0.02","15.91","16.30","100.00",""
"08/04/2011","TOTAL","17.02","10.00","15.90","15.90","15.90","15.90","0","15.90","16.30","200.00",""
"07/04/2011","TOTAL","17.02","10.00","15.89","15.89","15.90","15.90","0.01","15.87","16.10","100.00",""
"06/04/2011","TOTAL","17.02","10.00","15.86","15.86","15.89","15.89","0.03","15.88","16.10","600.00",""
"05/04/2011","TOTAL","17.02","10.00","15.86","15.86","15.86","15.86","0","15.87","16.50","0.00",""
"04/04/2011","TOTAL","17.02","10.00","15.86","15.86","15.86","15.86","0","15.86","16.00","0.00",""
"01/04/2011","TOTAL","17.02","10.00","15.82","15.82","15.86","15.86","0.04","15.86","16.50","800.00",""
"31/03/2011","TOTAL","17.02","10.00","15.61","15.61","15.82","15.82","0.21","15.82","16.60","100.00",""
"30/03/2011","TOTAL","17.02","10.00","15.61","15.61","15.61","15.61","0","15.80","","0.00",""
"29/03/2011","TOTAL","17.02","10.00","15.61","15.61","15.61","15.61","0","15.80","","0.00",""
"28/03/2011","TOTAL","17.02","10.00","15.51","15.51","15.61","15.61","0.1","15.60","","2,400.00",""
"25/03/2011","TOTAL","17.02","10.00","15.51","15.51","15.51","15.51","0","15.51","","500.00",""
"24/03/2011","TOTAL","17.02","10.00","15.30","15.30","15.51","15.51","0.21","15.51","17.59","400.00",""
"23/03/2011","TOTAL","17.02","10.00","15.30","15.30","15.30","15.30","0","15.33","","0.00",""
"22/03/2011","TOTAL","17.02","10.00","15.30","15.30","15.30","15.30","0","15.51","","0.00",""
"21/03/2011","TOTAL","17.02","10.00","15.49","15.30","15.30","15.30","-0.19","15.51","","300.00",""
"18/03/2011","TOTAL","17.02","10.00","15.42","15.42","15.30","15.49","0.07","15.30","","7,700.00",""
"17/03/2011","TOTAL","17.02","10.00","15.12","17.01","15.12","15.42","0.3","15.58","","21,900.00",""
"16/03/2011","TOTAL","15.12","10.00","15.12","15.12","15.12","15.12","0","17.38","","0.00",""
"15/03/2011","TOTAL","15.12","10.00","14.00","14.00","15.12","15.12","1.12","15.14","","9,600.00",""
"14/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","15.01","","0.00",""
"11/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","15.10","","0.00",""
"10/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","15.10","","0.00",""
"09/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.50","","0.00",""
"08/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","15.00","","0.00",""
"04/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.55","","0.00",""
"03/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.63","","0.00",""
"02/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.11","","0.00",""
"01/03/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.05","","0.00",""
"28/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.10","","0.00",""
"25/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.08","","0.00",""
"24/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.02","","0.00",""
"23/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.00","","0.00",""
"22/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","14.00","","0.00",""
